,PostalCode,Borough,Neighborhood
0,M3A,North York,Parkwoods
1,M4A,North York,Victoria Village
2,M5A,Downtown Toronto,"Harbourfront, Regent Park"
3,M6A,North York,"Lawrence Heights, Lawrence Manor"
4,M7A,Queen's Park,Queen's Park
5,M9A,Etobicoke,Islington Avenue
6,M1B,Scarborough,"Rouge, Malvern"
7,M3B,North York,Don Mills North
8,M4B,East York,"Woodbine Gardens, Parkview Hill"
9,M5B,Downtown Toronto,"Ryerson, Garden District"
10,M6B,North York,Glencairn
11,M9B,Etobicoke,"Cloverdale, Islington, Martin Grove, Princess Gardens, West Deane Park"
12,M1C,Scarborough,"Highland Creek, Rouge Hill, Port Union"
13,M3C,North York,"Flemingdon Park, Don Mills South"
14,M4C,East York,Woodbine Heights
15,M5C,Downtown Toronto,St. James Town
16,M9C,Etobicoke,"Bloordale Gardens, Eringate, Markland Wood, Old Burnhamthorpe"
17,M1E,Scarborough,"Guildwood, Morningside, West Hill"
18,M4E,East Toronto,The Beaches
19,M5E,Downtown Toronto,Berczy Park
20,M1G,Scarborough,Woburn
21,M4G,East York,Leaside
22,M5G,Downtown Toronto,Central Bay Street
23,M6G,Downtown Toronto,Christie
24,M1H,Scarborough,Cedarbrae
25,M2H,North York,Hillcrest Village
26,M3H,North York,"Bathurst Manor, Downsview North, Wilson Heights"
27,M4H,East York,Thorncliffe Park
28,M5H,Downtown Toronto,"Adelaide, King, Richmond"
29,M6H,West Toronto,"Dovercourt Village, Dufferin"
30,M1J,Scarborough,Scarborough Village
31,M2J,North York,"Fairview, Henry Farm, Oriole"
32,M3J,North York,"Northwood Park, York University"
33,M4J,East York,East Toronto
34,M5J,Downtown Toronto,"Harbourfront East, Toronto Islands, Union Station"
35,M6J,West Toronto,"Little Portugal, Trinity"
36,M1K,Scarborough,"East Birchmount Park, Ionview, Kennedy Park"
37,M2K,North York,Bayview Village
38,M3K,North York,"CFB Toronto, Downsview East"
39,M4K,East Toronto,"The Danforth West, Riverdale"
40,M5K,Downtown Toronto,"Design Exchange, Toronto Dominion Centre"
41,M6K,West Toronto,"Brockton, Exhibition Place, Parkdale Village"
42,M1L,Scarborough,"Clairlea, Golden Mile, Oakridge"
43,M2L,North York,"Silver Hills, York Mills"
44,M3L,North York,Downsview West
45,M4L,East Toronto,"The Beaches West, India Bazaar"
46,M5L,Downtown Toronto,"Commerce Court, Victoria Hotel"
47,M6L,North York,"Downsview, North Park, Upwood Park"
48,M9L,North York,Humber Summit
49,M1M,Scarborough,"Cliffcrest, Cliffside, Scarborough Village West"
50,M2M,North York,"Newtonbrook, Willowdale"
51,M3M,North York,Downsview Central
52,M4M,East Toronto,Studio District
53,M5M,North York,"Bedford Park, Lawrence Manor East"
54,M6M,York,"Del Ray, Keelesdale, Mount Dennis, Silverthorn"
55,M9M,North York,"Emery, Humberlea"
56,M1N,Scarborough,"Birch Cliff, Cliffside West"
57,M2N,North York,Willowdale South
58,M3N,North York,Downsview Northwest
59,M4N,Central Toronto,Lawrence Park
60,M5N,Central Toronto,Roselawn
61,M6N,York,"The Junction North, Runnymede"
62,M9N,York,Weston
63,M1P,Scarborough,"Dorset Park, Scarborough Town Centre, Wexford Heights"
64,M2P,North York,York Mills West
65,M4P,Central Toronto,Davisville North
66,M5P,Central Toronto,"Forest Hill North, Forest Hill West"
67,M6P,West Toronto,"High Park, The Junction South"
68,M9P,Etobicoke,Westmount
69,M1R,Scarborough,"Maryvale, Wexford"
70,M2R,North York,Willowdale West
71,M4R,Central Toronto,North Toronto West
72,M5R,Central Toronto,"The Annex, North Midtown, Yorkville"
73,M6R,West Toronto,"Parkdale, Roncesvalles"
74,M9R,Etobicoke,"Kingsview Village, Martin Grove Gardens, Richview Gardens, St. Phillips"
75,M1S,Scarborough,Agincourt
76,M4S,Central Toronto,Davisville
77,M5S,Downtown Toronto,"Harbord, University of Toronto"
78,M6S,West Toronto,"Runnymede, Swansea"
79,M1T,Scarborough,"Clarks Corners, Sullivan, Tam O'Shanter"
80,M4T,Central Toronto,"Moore Park, Summerhill East"
81,M5T,Downtown Toronto,"Chinatown, Grange Park, Kensington Market"
82,M1V,Scarborough,"Agincourt North, L'Amoreaux East, Milliken, Steeles East"
83,M4V,Central Toronto,"Deer Park, Forest Hill SE, Rathnelly, South Hill, Summerhill West"
84,M5V,Downtown Toronto,"CN Tower, Bathurst Quay, Island airport, Harbourfront West, King and Spadina, Railway Lands, South Niagara"
85,M8V,Etobicoke,"Humber Bay Shores, Mimico South, New Toronto"
86,M9V,Etobicoke,"Albion Gardens, Beaumond Heights, Humbergate, Jamestown, Mount Olive, Silverstone, South Steeles, Thistletown"
87,M1W,Scarborough,L'Amoreaux West
88,M4W,Downtown Toronto,Rosedale
89,M5W,Downtown Toronto,Stn A PO Boxes 25 The Esplanade
90,M8W,Etobicoke,"Alderwood, Long Branch"
91,M9W,Etobicoke,Northwest
92,M1X,Scarborough,Upper Rouge
93,M4X,Downtown Toronto,"Cabbagetown, St. James Town"
94,M5X,Downtown Toronto,"First Canadian Place, Underground city"
95,M8X,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
96,M4Y,Downtown Toronto,Church and Wellesley
97,M7Y,East Toronto,Business Reply Mail Processing Centre 969 Eastern
98,M8Y,Etobicoke,"Humber Bay, King's Mill Park, Kingsway Park South East, Mimico NE, Old Mill South, The Queensway East, Royal York South East, Sunnylea"
99,M8Z,Etobicoke,"Kingsway Park South West, Mimico NW, The Queensway West, Royal York South West, South of Bloor"
